City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
217,Kerrville,US,2021-02-04 14:52:36,30.0474,-99.1403,60.01,88,90,5.75
218,Kismayo,SO,2021-02-04 14:52:36,-0.3582,42.5454,78.64,77,0,18.75
219,Kirkuk,IQ,2021-02-04 14:52:36,35.4681,44.3922,62.31,38,100,2.21
220,Ransang,PH,2021-02-04 14:52:37,8.9603,117.5828,79.29,83,99,12.93
221,Ekhabi,RU,2021-02-04 14:52:37,53.5102,142.9671,-13.05,88,100,20.29
222,Marzuq,YE,2021-02-04 14:52:37,14.4,46.4667,68.7,41,0,8.52
223,Camacha,PT,2021-02-04 14:52:38,33.0833,-16.3333,53.6,87,40,2.3
224,Arraial Do Cabo,BR,2021-02-04 14:52:01,-22.9661,-42.0278,91.4,55,0,18.41
225,Mount Isa,AU,2021-02-04 14:52:38,-20.7333,139.5,86.0,58,62,11.5
226,Buraydah,SA,2021-02-04 14:52:13,26.326,43.975,80.6,29,40,14.97
227,Bengkulu,ID,2021-02-04 14:52:39,-3.8004,102.2655,76.77,87,100,4.27
228,Riyadh,SA,2021-02-04 14:52:39,24.6877,46.7219,78.8,24,0,11.5
229,Tocopilla,CL,2021-02-04 14:52:39,-22.092,-70.1979,74.61,50,95,7.27
230,Talara,PE,2021-02-04 14:52:39,-4.5772,-81.2719,75.2,69,90,19.57
231,Washington,US,2021-02-04 14:50:05,47.5001,-120.5015,33.01,75,93,1.01
232,Lastoursville,GA,2021-02-04 14:52:39,-0.8143,12.7287,86.0,66,40,3.02
233,Vardo,NO,2021-02-04 14:52:40,70.3705,31.1107,24.8,93,90,24.16
234,Ariquemes,BR,2021-02-04 14:52:40,-9.9133,-63.0408,88.81,61,85,2.21
235,Cabo San Lucas,MX,2021-02-04 14:50:20,22.8909,-109.9124,66.0,58,20,4.61
236,Yumen,CN,2021-02-04 14:52:41,40.2833,97.2,30.27,67,0,15.79
237,Vila Franca Do Campo,PT,2021-02-04 14:50:26,37.7167,-25.4333,55.4,67,40,23.02
238,Kotido,UG,2021-02-04 14:52:41,2.9806,34.1331,89.11,17,0,14.38
239,Salalah,OM,2021-02-04 14:52:41,17.0151,54.0924,75.2,69,40,5.75
240,Krasnokamensk,RU,2021-02-04 14:52:42,50.0979,118.0369,-6.3,91,70,1.32
241,San Luis,AR,2021-02-04 14:49:26,-33.295,-66.3356,78.53,20,0,4.76
242,Gopalur,IN,2021-02-04 14:52:42,16.6167,77.8,71.49,32,0,9.01
243,Bambanglipuro,ID,2021-02-04 14:48:59,-7.95,110.2833,76.41,92,100,7.72
244,Kalabo,ZM,2021-02-04 14:52:42,-14.97,22.6814,80.22,65,45,5.93
245,Ginir,ET,2021-02-04 14:52:43,7.1333,40.7,71.47,20,0,9.55
246,Ponta Delgada,PT,2021-02-04 14:52:43,37.7333,-25.6667,55.4,67,40,23.02
247,Parana,AR,2021-02-04 14:50:06,-31.732,-60.5238,80.01,57,0,4.0
248,Omboue,GA,2021-02-04 14:52:43,-1.5746,9.2618,82.38,79,65,7.34
249,Svetlogorsk,BY,2021-02-04 14:52:43,52.6333,29.7333,27.68,98,100,15.26
250,Manggar,ID,2021-02-04 14:52:43,-2.8833,108.2667,79.38,80,86,12.35
251,Antofagasta,CL,2021-02-04 14:52:06,-23.65,-70.4,73.99,64,20,5.75
